# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
310             	1.46354354e-02	2.62358289e-01	-2.47722854e-01	4.08064915e-01	5.07111411e-01	-9.90464964e-02	3.03078954e-01	2.55040572e-01	-9.14714712e-03	-8.45981184e-22	-9.14714712e-03	9.14714712e-03
320             	1.40153876e-02	2.62566254e-01	-2.48550866e-01	4.08893696e-01	5.08472159e-01	-9.95784631e-02	3.04025311e-01	2.55558560e-01	-8.75961726e-03	-8.28722008e-22	-8.75961726e-03	8.75961726e-03
330             	1.38870483e-02	2.63132700e-01	-2.49245652e-01	4.09902682e-01	5.10285048e-01	-1.00382366e-01	3.05333707e-01	2.56189176e-01	-8.67940518e-03	-8.30119670e-22	-8.67940518e-03	8.67940518e-03
340             	1.37461147e-02	2.62382603e-01	-2.48636488e-01	4.08815273e-01	5.09628082e-01	-1.00812808e-01	3.05220445e-01	2.55509546e-01	-8.59132168e-03	-8.36330565e-22	-8.59132168e-03	8.59132168e-03
350             	1.33299883e-02	2.61401391e-01	-2.48071403e-01	4.07578235e-01	5.08257728e-01	-1.00679493e-01	3.04468610e-01	2.54736397e-01	-8.33124266e-03	-8.21759215e-22	-8.33124266e-03	8.33124266e-03
360             	1.32505339e-02	2.61237546e-01	-2.47987012e-01	4.07379646e-01	5.08622553e-01	-1.01242906e-01	3.04932729e-01	2.54612279e-01	-8.28158369e-03	-8.34293385e-22	-8.28158369e-03	8.28158369e-03
370             	1.29828025e-02	2.59400982e-01	-2.46418179e-01	4.04655328e-01	5.05472304e-01	-1.00816975e-01	3.03144639e-01	2.52909580e-01	-8.11425157e-03	-8.25702261e-22	-8.11425157e-03	8.11425157e-03
380             	1.31781776e-02	2.59397835e-01	-2.46219657e-01	4.04493994e-01	5.05353497e-01	-1.00859503e-01	3.03106500e-01	2.52808746e-01	-8.23636101e-03	-8.43970990e-22	-8.23636101e-03	8.23636101e-03
390             	1.34257853e-02	2.59728142e-01	-2.46302357e-01	4.04824399e-01	5.06124646e-01	-1.01300247e-01	3.03712447e-01	2.53015249e-01	-8.39111579e-03	-8.62980339e-22	-8.39111579e-03	8.39111579e-03
400             	1.34133943e-02	2.60159153e-01	-2.46745759e-01	4.05523929e-01	5.07235051e-01	-1.01711122e-01	3.04473086e-01	2.53452456e-01	-8.38337147e-03	-8.64798951e-22	-8.38337147e-03	8.38337147e-03
410             	1.26771837e-02	2.58437893e-01	-2.45760710e-01	4.03358882e-01	5.04796402e-01	-1.01437520e-01	3.03116961e-01	2.52099301e-01	-7.92323979e-03	-8.56232927e-22	-7.92323979e-03	7.92323979e-03
420             	1.29780289e-02	2.58338245e-01	-2.45360216e-01	4.02958769e-01	5.04567923e-01	-1.01609154e-01	3.03088539e-01	2.51849230e-01	-8.11126809e-03	-8.68390976e-22	-8.11126809e-03	8.11126809e-03
430             	1.30285609e-02	2.57344653e-01	-2.44316092e-01	4.01328596e-01	5.02843743e-01	-1.01515147e-01	3.02179445e-01	2.50830373e-01	-8.14285058e-03	-8.78718173e-22	-8.14285058e-03	8.14285058e-03
