# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
57              	smoothSolver	4.86021560e-03	1.05364790e-04	4	4.13598940e-03	7.70208700e-05	4	false	smoothSolver	5.03905780e-04	2.11008600e-05	4	true	smoothSolver	1.79274940e-04	9.76307490e-06	4	true	GAMG	2.11880280e-02	1.89062550e-03	1	true
58              	smoothSolver	4.82091610e-03	1.03465940e-04	4	4.08778960e-03	7.52363960e-05	4	false	smoothSolver	5.03471120e-04	2.11193030e-05	4	true	smoothSolver	1.75516500e-04	9.64079390e-06	4	true	GAMG	2.15753280e-02	1.89803210e-03	1	true
59              	smoothSolver	4.77777830e-03	1.02607430e-04	4	4.05498680e-03	4.03386680e-04	2	false	smoothSolver	5.03908680e-04	2.10674020e-05	4	true	smoothSolver	1.73419880e-04	9.44514830e-06	4	true	GAMG	2.04425710e-02	1.75999950e-03	1	true
60              	smoothSolver	4.74422540e-03	1.02278320e-04	4	4.03755510e-03	7.59542680e-05	4	false	smoothSolver	5.06235970e-04	2.12582240e-05	4	true	smoothSolver	1.71207240e-04	9.37030600e-06	4	true	GAMG	2.05770460e-02	1.82478130e-03	1	true
61              	smoothSolver	4.71873060e-03	1.00953850e-04	4	4.00897660e-03	7.46811430e-05	4	false	smoothSolver	5.07351430e-04	2.13506640e-05	4	true	smoothSolver	1.69288850e-04	9.21166430e-06	4	true	GAMG	1.97738950e-02	1.77014430e-03	1	true
62              	smoothSolver	4.68358260e-03	1.00345380e-04	4	3.99399320e-03	7.39637070e-05	4	false	smoothSolver	5.09095030e-04	2.14724120e-05	4	true	smoothSolver	1.66842000e-04	9.06252260e-06	4	true	GAMG	1.97483100e-02	1.68374030e-03	1	true
63              	smoothSolver	4.65409500e-03	9.95036480e-05	4	3.97397710e-03	7.34106780e-05	4	false	smoothSolver	5.10760770e-04	2.15314930e-05	4	true	smoothSolver	1.64577040e-04	8.93967320e-06	4	true	GAMG	1.92328840e-02	1.59626530e-03	1	true
64              	smoothSolver	4.62021900e-03	9.81061260e-05	4	3.93022130e-03	3.91300170e-04	2	false	smoothSolver	5.12033410e-04	2.14821710e-05	4	true	smoothSolver	1.62664820e-04	8.75811260e-06	4	true	GAMG	2.00267120e-02	1.59638260e-03	1	true
65              	smoothSolver	4.57603150e-03	9.73348270e-05	4	3.89179880e-03	7.18457420e-05	4	false	smoothSolver	5.12356950e-04	2.14479710e-05	4	true	smoothSolver	1.60157830e-04	8.61085700e-06	4	true	GAMG	1.84174440e-02	1.45730270e-03	1	true
66              	smoothSolver	4.53659870e-03	9.59125780e-05	4	3.88047750e-03	3.82882190e-04	2	false	smoothSolver	5.13917660e-04	2.14815670e-05	4	true	smoothSolver	1.57799900e-04	8.49018660e-06	4	true	GAMG	1.88321500e-02	1.52598240e-03	1	true
