# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
68              	smoothSolver	8.17377560e-03	2.76101310e-04	4	1.04806820e-02	2.06059110e-04	4	false	smoothSolver	2.55662230e-03	6.18579040e-05	4	true	smoothSolver	2.12702790e-04	1.02961540e-05	4	true	GAMG	7.95075450e-02	2.34614040e-03	2	true
69              	smoothSolver	8.11803610e-03	2.73053760e-04	4	1.03668860e-02	2.04529870e-04	4	false	smoothSolver	2.56977010e-03	6.19776010e-05	4	true	smoothSolver	2.11573820e-04	1.02044910e-05	4	true	GAMG	7.76097490e-02	2.32674310e-03	2	true
70              	smoothSolver	8.07212520e-03	2.71032140e-04	4	1.02533210e-02	2.01443640e-04	4	false	smoothSolver	2.58213220e-03	6.19972410e-05	4	true	smoothSolver	2.10660000e-04	1.01146430e-05	4	true	GAMG	7.60467530e-02	2.27881420e-03	2	true
71              	smoothSolver	8.01200800e-03	2.68914430e-04	4	1.01384280e-02	1.99281520e-04	4	false	smoothSolver	2.59570000e-03	6.21804820e-05	4	true	smoothSolver	2.10046890e-04	1.00783710e-05	4	true	GAMG	7.76757130e-02	2.39772430e-03	2	true
72              	smoothSolver	7.99245720e-03	2.67586900e-04	4	1.00151190e-02	1.99766910e-04	4	false	smoothSolver	2.60779950e-03	6.24380690e-05	4	true	smoothSolver	2.08838750e-04	1.00968260e-05	4	true	GAMG	7.58137340e-02	2.40027650e-03	2	true
73              	smoothSolver	7.99400340e-03	2.66176650e-04	4	9.95576990e-03	1.91893960e-04	4	false	smoothSolver	2.62109940e-03	6.25148520e-05	4	true	smoothSolver	2.08101050e-04	1.00273630e-05	4	true	GAMG	7.50522160e-02	2.37415360e-03	2	true
74              	smoothSolver	7.95748790e-03	2.65881110e-04	4	9.81151050e-03	1.87961900e-04	4	false	smoothSolver	2.63591680e-03	6.27177090e-05	4	true	smoothSolver	2.07148800e-04	9.99050570e-06	4	true	GAMG	7.27886290e-02	2.19188480e-03	2	true
75              	smoothSolver	7.89319010e-03	2.63765240e-04	4	9.70792650e-03	1.86262570e-04	4	false	smoothSolver	2.64745160e-03	6.27658770e-05	4	true	smoothSolver	2.05957290e-04	9.93839550e-06	4	true	GAMG	7.29006580e-02	2.22446110e-03	2	true
76              	smoothSolver	7.85687240e-03	2.61845520e-04	4	9.57121270e-03	1.87701220e-04	4	false	smoothSolver	2.65879250e-03	6.27098420e-05	4	true	smoothSolver	2.05210560e-04	9.90359840e-06	4	true	GAMG	7.14142560e-02	2.22293830e-03	2	true
77              	smoothSolver	7.84182530e-03	2.61374500e-04	4	9.46520850e-03	1.83703330e-04	4	false	smoothSolver	2.67157570e-03	6.27765940e-05	4	true	smoothSolver	2.05171310e-04	9.86840450e-06	4	true	GAMG	7.13386970e-02	2.19388470e-03	2	true
78              	smoothSolver	7.81985070e-03	2.60408230e-04	4	9.37602650e-03	1.82241720e-04	4	false	smoothSolver	2.68084020e-03	6.27959200e-05	4	true	smoothSolver	2.03983520e-04	9.86213070e-06	4	true	GAMG	6.98935210e-02	2.20017670e-03	2	true
79              	smoothSolver	7.78195500e-03	2.58848520e-04	4	9.28102660e-03	1.81904310e-04	4	false	smoothSolver	2.68888470e-03	6.26687590e-05	4	true	smoothSolver	2.03879820e-04	9.81254380e-06	4	true	GAMG	6.98888520e-02	2.23105320e-03	2	true
80              	smoothSolver	7.71457690e-03	2.56979340e-04	4	9.17943970e-03	1.80238990e-04	4	false	smoothSolver	2.69801720e-03	6.26568730e-05	4	true	smoothSolver	2.03547380e-04	9.83353820e-06	4	true	GAMG	6.88645240e-02	2.16701770e-03	2	true
81              	smoothSolver	7.68866420e-03	2.54945100e-04	4	9.08918230e-03	1.77614630e-04	4	false	smoothSolver	2.70446450e-03	6.25955240e-05	4	true	smoothSolver	2.03052940e-04	9.84025400e-06	4	true	GAMG	6.75427570e-02	2.10489240e-03	2	true
82              	smoothSolver	7.66983430e-03	2.53806370e-04	4	8.98461160e-03	1.76311660e-04	4	false	smoothSolver	2.70945680e-03	6.26906080e-05	4	true	smoothSolver	2.02179190e-04	9.87741760e-06	4	true	GAMG	6.60453170e-02	2.07830600e-03	2	true
83              	smoothSolver	7.62889090e-03	2.53225070e-04	4	8.88989120e-03	1.72448660e-04	4	false	smoothSolver	2.71628520e-03	6.27893690e-05	4	true	smoothSolver	2.02211410e-04	9.93869410e-06	4	true	GAMG	6.49777390e-02	2.11811500e-03	2	true
84              	smoothSolver	7.55756950e-03	2.51354700e-04	4	8.76552320e-03	1.70798330e-04	4	false	smoothSolver	2.72077040e-03	6.26204050e-05	4	true	smoothSolver	2.02414970e-04	9.95299400e-06	4	true	GAMG	6.40140280e-02	2.11131410e-03	2	true
85              	smoothSolver	7.56181210e-03	2.49638580e-04	4	8.67539870e-03	1.69290710e-04	4	false	smoothSolver	2.73026470e-03	6.25723320e-05	4	true	smoothSolver	2.02629950e-04	9.95904430e-06	4	true	GAMG	6.17638660e-02	1.97449830e-03	2	true
86              	smoothSolver	7.51479800e-03	2.50981910e-04	4	8.55408920e-03	1.68837260e-04	4	false	smoothSolver	2.73523570e-03	6.24602730e-05	4	true	smoothSolver	2.02934300e-04	9.92443170e-06	4	true	GAMG	6.09322340e-02	2.00492880e-03	2	true
87              	smoothSolver	7.50560450e-03	2.48206450e-04	4	8.45856830e-03	1.65868830e-04	4	false	smoothSolver	2.74167080e-03	6.23355540e-05	4	true	smoothSolver	2.03479840e-04	9.95696010e-06	4	true	GAMG	6.08350270e-02	1.92528770e-03	2	true
88              	smoothSolver	7.44581850e-03	2.46618660e-04	4	8.35759140e-03	1.62380210e-04	4	false	smoothSolver	2.74308530e-03	6.19856840e-05	4	true	smoothSolver	2.03616850e-04	9.89877180e-06	4	true	GAMG	6.03836090e-02	1.87547310e-03	2	true
89              	smoothSolver	7.45634680e-03	2.46712380e-04	4	8.31881020e-03	1.61787890e-04	4	false	smoothSolver	2.74573400e-03	6.17773700e-05	4	true	smoothSolver	2.04269300e-04	9.94138220e-06	4	true	GAMG	6.01805870e-02	1.85561570e-03	2	true
90              	smoothSolver	7.40421440e-03	2.44462980e-04	4	8.20263840e-03	1.58284900e-04	4	false	smoothSolver	2.74913080e-03	6.14072620e-05	4	true	smoothSolver	2.05008580e-04	9.93400630e-06	4	true	GAMG	5.99663410e-02	1.92863140e-03	2	true
91              	smoothSolver	7.41520720e-03	2.43891290e-04	4	8.13798890e-03	1.57800920e-04	4	false	smoothSolver	2.74875460e-03	6.10875390e-05	4	true	smoothSolver	2.06982850e-04	9.94905130e-06	4	true	GAMG	5.87295950e-02	1.90312680e-03	2	true
92              	smoothSolver	7.36588630e-03	2.42126220e-04	4	8.02193960e-03	1.54924660e-04	4	false	smoothSolver	2.74902040e-03	6.08379450e-05	4	true	smoothSolver	2.06233480e-04	9.93519520e-06	4	true	GAMG	5.83804970e-02	1.82709420e-03	2	true
93              	smoothSolver	7.33694720e-03	2.40855850e-04	4	7.95840790e-03	1.54579020e-04	4	false	smoothSolver	2.74803250e-03	6.06713980e-05	4	true	smoothSolver	2.06671120e-04	9.97522350e-06	4	true	GAMG	5.75943560e-02	1.74677010e-03	2	true
94              	smoothSolver	7.30739590e-03	2.40996480e-04	4	7.80876450e-03	1.51919010e-04	4	false	smoothSolver	2.74589700e-03	6.04613410e-05	4	true	smoothSolver	2.06513210e-04	9.98650110e-06	4	true	GAMG	5.65709540e-02	1.68682070e-03	2	true
95              	smoothSolver	7.28958490e-03	2.37563220e-04	4	7.69880360e-03	1.49385280e-04	4	false	smoothSolver	2.74581990e-03	6.02609210e-05	4	true	smoothSolver	2.07745890e-04	1.00348200e-05	4	true	GAMG	5.55942340e-02	1.59088620e-03	2	true
96              	smoothSolver	7.27312810e-03	2.36635840e-04	4	7.59994410e-03	1.47601960e-04	4	false	smoothSolver	2.74491930e-03	6.00224930e-05	4	true	smoothSolver	2.07640500e-04	1.00009810e-05	4	true	GAMG	5.37953890e-02	1.53901810e-03	2	true
97              	smoothSolver	7.26491250e-03	2.36851070e-04	4	7.51900060e-03	1.46334820e-04	4	false	smoothSolver	2.74552600e-03	5.98413580e-05	4	true	smoothSolver	2.07623280e-04	1.00367160e-05	4	true	GAMG	5.30995930e-02	1.59936170e-03	2	true
98              	smoothSolver	7.23411110e-03	2.33883120e-04	4	7.47722630e-03	1.45615720e-04	4	false	smoothSolver	2.74619780e-03	5.96347700e-05	4	true	smoothSolver	2.08499930e-04	1.01050610e-05	4	true	GAMG	5.28582620e-02	1.49629210e-03	2	true
