# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2650            	-4.45047973e-02	4.71626164e-01	-5.16130962e-01	7.90205701e-01	1.00071773e+00	-2.10512025e-01	6.05614875e-01	4.93878563e-01	2.78154983e-02	4.84665687e-22	2.78154983e-02	-2.78154983e-02
2660            	-4.47444377e-02	4.72200778e-01	-5.16945216e-01	7.91316795e-01	1.00223814e+00	-2.10921344e-01	6.06579742e-01	4.94572997e-01	2.79652736e-02	5.14815337e-22	2.79652736e-02	-2.79652736e-02
2670            	-4.42050977e-02	4.70981934e-01	-5.15187032e-01	7.88935173e-01	9.99332923e-01	-2.10397750e-01	6.04865337e-01	4.93084483e-01	2.76281861e-02	4.84820219e-22	2.76281861e-02	-2.76281861e-02
2680            	-4.46845824e-02	4.71747895e-01	-5.16432477e-01	7.90544297e-01	1.00124033e+00	-2.10696032e-01	6.05968181e-01	4.94090186e-01	2.79278640e-02	5.21916248e-22	2.79278640e-02	-2.79278640e-02
2690            	-4.43180966e-02	4.71347362e-01	-5.15665458e-01	7.89610256e-01	1.00037714e+00	-2.10766883e-01	6.05572011e-01	4.93506410e-01	2.76988104e-02	4.91564731e-22	2.76988104e-02	-2.76988104e-02
2700            	-4.37077463e-02	4.71724200e-01	-5.15431946e-01	7.89724917e-01	1.00027386e+00	-2.10548948e-01	6.05411406e-01	4.93578073e-01	2.73173414e-02	4.55313520e-22	2.73173414e-02	-2.73173414e-02
2710            	-4.46216670e-02	4.70500871e-01	-5.15122538e-01	7.88498728e-01	9.99104427e-01	-2.10605699e-01	6.04855063e-01	4.92811705e-01	2.78885419e-02	5.06612305e-22	2.78885419e-02	-2.78885419e-02
2720            	-4.44075989e-02	4.70139961e-01	-5.14547560e-01	7.87750017e-01	9.98178472e-01	-2.10428455e-01	6.04303463e-01	4.92343761e-01	2.77547493e-02	4.73173994e-22	2.77547493e-02	-2.77547493e-02
2730            	-4.46452990e-02	4.71617293e-01	-5.16262592e-01	7.90303909e-01	1.00137645e+00	-2.11072546e-01	6.06224500e-01	4.93939943e-01	2.79033119e-02	5.10743581e-22	2.79033119e-02	-2.79033119e-02
2740            	-4.42199887e-02	4.71539361e-01	-5.15759350e-01	7.89838969e-01	1.00101419e+00	-2.11175223e-01	6.06094707e-01	4.93649355e-01	2.76374929e-02	4.75725070e-22	2.76374929e-02	-2.76374929e-02
